Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,10,10,2100.0,2093.672610000067,2043.58990000037,2378.83139999758,202.7,1.2315084888504149,1.2315084888504149,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,2400
POST,/api/v1/auth/register,5,5,2040.0538999965647,2049.472960003186,2040.0538999965647,2073.54560001113,261.8,0.6157542444252074,0.6157542444252074,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4,1.8472627332756224,1.8472627332756224,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400
