Method,Name,Error,Occurrences
GET,/api/v1/history?page=2&per_page=20,CatchResponseError('Got status code 404'),2
POST,/api/v1/auth/register,HTTPError('500 Server Error: INTERNAL SERVER ERROR for url: /api/v1/auth/register'),5
POST,/api/v1/auth/login,HTTPError('401 Client Error: UNAUTHORIZED for url: /api/v1/auth/login'),5
GET,/api/v1/history?page=3&per_page=20,CatchResponseError('Got status code 404'),5
POST,/api/v1/auth/login,HTTPError('429 Client Error: TOO MANY REQUESTS for url: /api/v1/auth/login'),2
