Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770901715,10,,Aggregated,2.400000,1.100000,2100,2100,2400,2500,10000,12000,14000,14000,14000,14000,14000,50,29,2100.0,3126.78258000029,2025.700099999085,14007.8799000039,384.24
1770901716,10,,Aggregated,2.300000,1.000000,2100,2100,2400,2500,2500,12000,13000,14000,14000,14000,14000,52,29,2100.0,3086.7651230773145,2025.700099999085,14007.8799000039,387.84615384615387
1770901717,10,,Aggregated,2.500000,1.100000,2100,2100,2400,2500,2500,12000,13000,14000,14000,14000,14000,53,30,2100.0,3067.0959188683587,2025.700099999085,14007.8799000039,385.8490566037736
1770901718,10,,Aggregated,2.300000,1.200000,2100,2100,2400,2500,2500,12000,13000,14000,14000,14000,14000,54,31,2025.700099999085,3048.1864148152654,2025.700099999085,14007.8799000039,383.9259259259259
1770901719,10,,Aggregated,1.900000,1.000000,2000,2100,2400,2400,2500,12000,13000,14000,14000,14000,14000,59,35,2025.700099999085,2963.094752542359,2025.700099999085,14007.8799000039,374.40677966101697
1770901720,10,,Aggregated,1.900000,1.000000,2000,2100,2200,2400,2500,11000,13000,14000,14000,14000,14000,61,36,2025.700099999085,2933.1165885246937,2025.700099999085,14007.8799000039,370.4754098360656
1770901721,10,,Aggregated,1.900000,1.000000,2000,2100,2200,2400,2500,11000,13000,14000,14000,14000,14000,63,38,2025.700099999085,2904.599680952425,2025.700099999085,14007.8799000039,367.6666666666667
1770901722,10,,Aggregated,1.900000,1.000000,2000,2100,2200,2400,2500,11000,13000,14000,14000,14000,14000,63,38,2025.700099999085,2904.599680952425,2025.700099999085,14007.8799000039,367.6666666666667
1770901723,10,,Aggregated,2.200000,1.200000,2000,2100,2100,2400,2500,11000,13000,14000,14000,14000,14000,66,39,2025.700099999085,2867.3993484851303,2025.700099999085,14007.8799000039,367.7878787878788
1770901724,10,,Aggregated,2.400000,1.400000,2000,2100,2100,2400,2500,11000,13000,14000,14000,14000,14000,68,39,2025.700099999085,2842.9839720590867,2025.700099999085,14007.8799000039,363.69117647058823
1770901725,10,,Aggregated,2.000000,1.300000,2000,2100,2100,2400,2500,11000,13000,14000,14000,14000,14000,70,41,2022.607799997786,2819.7358985716296,2022.607799997786,14007.8799000039,361.34285714285716
1770901726,10,,Aggregated,2.100000,1.100000,2000,2100,2100,2400,2500,11000,13000,14000,14000,14000,14000,74,44,2022.607799997786,2777.6541243245547,2022.607799997786,14007.8799000039,358.0405405405405
1770901727,10,,Aggregated,2.100000,1.100000,2000,2100,2100,2400,2500,11000,13000,14000,14000,14000,14000,75,45,2022.607799997786,2767.751252000259,2022.607799997786,14007.8799000039,357.02666666666664
1770901728,10,,Aggregated,2.000000,1.200000,2000,2100,2100,2200,2500,11000,13000,14000,14000,14000,14000,76,46,2022.607799997786,2758.1418697371096,2022.607799997786,14007.8799000039,356.0394736842105
1770901729,10,,Aggregated,2.100000,1.500000,2000,2100,2100,2200,2500,11000,13000,14000,14000,14000,14000,78,46,2022.607799997786,2739.918105128312,2022.607799997786,14007.8799000039,352.7692307692308
1770901730,10,,Aggregated,2.200000,1.500000,2000,2100,2100,2200,2500,11000,13000,14000,14000,14000,14000,80,47,2022.607799997786,2722.166980000293,2022.607799997786,14007.8799000039,350.3625
1770901731,10,,Aggregated,2.000000,1.200000,2000,2100,2100,2100,2500,10000,13000,14000,14000,14000,14000,82,48,2022.607799997786,2705.6903439027715,2022.607799997786,14007.8799000039,352.780487804878
1770901732,10,,Aggregated,1.900000,1.100000,2000,2100,2100,2100,2500,10000,13000,14000,14000,14000,14000,85,51,2022.607799997786,2682.4492458827617,2022.607799997786,14007.8799000039,350.2705882352941
