Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,10,0,2301.861799991457,2330.280770001991,2301.861799991457,2345.0155000027735,741.8,0.17103304525488142,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/api/v1/auth/register,10,0,2400.0,2364.0569099996355,2318.5937000089325,2412.0152999967104,368.6,0.17103304525488142,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/v1/history/stats,59,0,2023.2978999993065,2039.8489491527178,2023.2978999993065,2063.2003000064287,228.0,1.0090949670038003,0.0,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=1&per_page=20,11,0,2037.7199000067776,2047.2942454520803,2037.7199000067776,2067.5887999968836,455.8181818181818,0.18813634978036956,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=2&per_page=20,15,15,2024.1648000082932,2038.7840466651444,2024.1648000082932,2055.247500000405,281.46666666666664,0.25654956788232214,0.25654956788232214,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=3&per_page=20,13,13,2028.0849999981,2045.4206153842208,2028.0849999981,2061.743699989165,281.7692307692308,0.22234295883134586,0.22234295883134586,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/api/v1/predict,13,0,2100.0,2109.7765076892056,2071.3591999956407,2220.2032999921357,595.6923076923077,0.22234295883134586,0.0,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200
GET,/api/v1/profile,19,0,2021.610599986161,2038.5752736826696,2021.610599986161,2055.9642000007443,357.8421052631579,0.3249627859842747,0.0,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
,Aggregated,150,28,2021.610599986161,2087.646366666013,2021.610599986161,2412.0152999967104,346.6533333333333,2.5654956788232215,0.478892526713668,2000,2100,2100,2100,2300,2300,2400,2400,2400,2400,2400
