Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770899994,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899995,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899996,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899997,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899998,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899999,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900000,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900001,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900002,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900003,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900004,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900005,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900006,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900007,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900008,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900009,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900010,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900011,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900012,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900013,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900014,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900015,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900016,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900017,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900018,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900019,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900020,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770900021,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
