Method,Name,Error,Occurrences
POST,/api/v1/auth/login,HTTPError('500 Server Error: INTERNAL SERVER ERROR for url: /api/v1/auth/login'),10
POST,/api/v1/auth/register,HTTPError('422 Client Error: UNPROCESSABLE ENTITY for url: /api/v1/auth/register'),5
